epoch,stage,total,bce,wbce,nc,q
77,C3_anneal,0.105473,0.050617,0.050617,0.052736,1.000000
78,C3_anneal,0.101525,0.050602,0.050602,0.050763,1.000000
79,C3_anneal,0.100678,0.051986,0.051986,0.050339,1.000000
80,C3_anneal,0.102005,0.046852,0.046852,0.051002,1.000000
81,C3_anneal,0.100340,0.050708,0.050708,0.050170,1.000000
82,C3_anneal,0.106492,0.054246,0.054246,0.053246,1.000000
83,C3_anneal,0.104689,0.053158,0.053158,0.052344,1.000000
84,C3_anneal,0.099800,0.048449,0.048449,0.049900,1.000000
85,C3_anneal,0.106625,0.053691,0.053691,0.053313,1.000000
86,C3_anneal,0.098441,0.050799,0.050799,0.049221,1.000000
87,C3_anneal,0.099726,0.049469,0.049469,0.049863,1.000000
88,C3_anneal,0.098312,0.047143,0.047143,0.049156,1.000000
89,C3_anneal,0.098295,0.048406,0.048406,0.049147,1.000000
90,C3_anneal,0.096326,0.047278,0.047278,0.048163,1.000000
91,C3_anneal,0.097623,0.050635,0.050635,0.048811,1.000000
92,C3_anneal,0.098587,0.052323,0.052323,0.049293,1.000000
93,C3_anneal,0.096345,0.047288,0.047288,0.048172,1.000000
94,C3_anneal,0.092404,0.042223,0.042223,0.046202,1.000000
95,C3_anneal,0.089554,0.044820,0.044820,0.044777,1.000000
96,C3_anneal,0.091127,0.048405,0.048405,0.045564,1.000000
97,C3_anneal,0.091779,0.047141,0.047141,0.045890,1.000000
98,C3_anneal,0.094014,0.048395,0.048395,0.047007,1.000000
99,C3_anneal,0.088837,0.045804,0.045804,0.044419,1.000000
100,C3_anneal,0.087830,0.043354,0.043354,0.043915,1.000000
101,C3_anneal,0.086336,0.041903,0.041903,0.043168,1.000000
102,C3_anneal,0.084465,0.043422,0.043422,0.042232,1.000000
103,C3_anneal,0.082127,0.040709,0.040709,0.041064,1.000000
104,C3_anneal,0.082387,0.039898,0.039898,0.041194,1.000000
105,C3_anneal,0.081467,0.040617,0.040617,0.040734,1.000000
106,C3_anneal,0.084751,0.041192,0.041192,0.042376,1.000000
107,C3_anneal,0.082497,0.039152,0.039152,0.041249,1.000000
108,C3_anneal,0.083186,0.038603,0.038603,0.041593,1.000000
109,C3_anneal,0.081525,0.041265,0.041265,0.040763,1.000000
110,C3_anneal,0.077610,0.037924,0.037924,0.038805,1.000000
111,C3_anneal,0.076496,0.035498,0.035498,0.038248,1.000000
112,C3_anneal,0.078217,0.038091,0.038091,0.039109,1.000000
113,C3_anneal,0.075719,0.036614,0.036614,0.037859,1.000000
114,C3_anneal,0.077275,0.037981,0.037981,0.038638,1.000000
115,C3_anneal,0.073500,0.034429,0.034429,0.036750,1.000000
116,C3_anneal,0.071149,0.032933,0.032933,0.035575,1.000000
117,C3_anneal,0.070060,0.030549,0.030549,0.035030,1.000000
118,C3_anneal,0.071013,0.030637,0.030637,0.035506,1.000000
119,C3_anneal,0.071136,0.032018,0.032018,0.035568,1.000000
120,C3_anneal,0.068317,0.030680,0.030680,0.034158,1.000000
121,C3_anneal,0.065897,0.028032,0.028032,0.032948,1.000000
122,C3_anneal,0.063526,0.027195,0.027195,0.031763,1.000000
123,C3_anneal,0.063552,0.026422,0.026422,0.031776,1.000000
124,C3_anneal,0.062433,0.025386,0.025386,0.031217,1.000000
125,C3_anneal,0.061768,0.025194,0.025194,0.030884,1.000000
126,C3_anneal,0.059703,0.025221,0.025221,0.029852,1.000000
127,C3_anneal,0.059461,0.025951,0.025951,0.029731,1.000000
128,C3_anneal,0.058662,0.024083,0.024083,0.029331,1.000000
129,C3_anneal,0.057946,0.024602,0.024602,0.028973,1.000000
130,C3_anneal,0.058401,0.023738,0.023738,0.029200,1.000000
131,C3_reliable_0p3,0.059689,0.024278,0.024278,0.029845,1.000000
132,C3_reliable_0p3,0.059008,0.023627,0.023627,0.029504,1.000000
133,C3_reliable_0p3,0.059268,0.024216,0.024216,0.029634,1.000000
134,C3_reliable_0p3,0.057021,0.023267,0.023267,0.028510,1.000000
135,C3_reliable_0p3,0.057450,0.023008,0.023008,0.028725,1.000000
136,C3_reliable_0p3,0.058464,0.023100,0.023100,0.029232,1.000000
137,C3_reliable_0p3,0.058101,0.023544,0.023544,0.029050,1.000000
138,C3_reliable_0p3,0.058656,0.023739,0.023739,0.029328,1.000000
139,C3_reliable_0p3,0.057423,0.022822,0.022822,0.028711,1.000000
140,C3_reliable_0p3,0.057434,0.023994,0.023994,0.028717,1.000000
141,C3_reliable_0p3,0.058138,0.023338,0.023338,0.029069,1.000000
142,C3_reliable_0p3,0.056773,0.022951,0.022951,0.028386,1.000000
143,C3_reliable_0p3,0.057098,0.023470,0.023470,0.028549,1.000000
144,C3_reliable_0p3,0.056109,0.024047,0.024047,0.028054,1.000000
145,C3_reliable_0p3,0.056953,0.023257,0.023257,0.028477,1.000000
146,C3_reliable_0p3,0.056961,0.023040,0.023040,0.028481,1.000000
147,C3_reliable_0p3,0.055668,0.022523,0.022523,0.027834,1.000000
148,C3_reliable_0p3,0.057432,0.023026,0.023026,0.028716,1.000000
149,C3_reliable_0p3,0.054851,0.022821,0.022821,0.027426,1.000000
