epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.839431,0.507043,0.332388,2.000000,0.150034,0.324023,0.395912,0.280065,0.434831,0.345715,0.219454
2,C3_broad_1to1,0.559299,0.334572,0.224727,2.000000,0.150239,0.334523,0.404590,0.260887,0.423479,0.353495,0.223026
3,C3_broad_1to1,0.400477,0.240282,0.160195,2.000000,0.150650,0.337494,0.406161,0.256345,0.419378,0.357626,0.222996
4,C3_broad_1to1,0.300469,0.181357,0.119112,2.000000,0.151264,0.333792,0.406725,0.259483,0.416285,0.359067,0.224648
5,C3_broad_1to1,0.233833,0.141028,0.092805,2.000000,0.152080,0.332776,0.405156,0.262068,0.415498,0.358897,0.225605
6,C3_broad_1to1,0.202867,0.120639,0.082228,2.000000,0.153096,0.332944,0.403647,0.263409,0.415030,0.360697,0.224273
7,C3_broad_1to1,0.173559,0.101131,0.072429,2.000000,0.154309,0.334492,0.401999,0.263509,0.413653,0.361443,0.224904
8,C3_broad_1to1,0.159735,0.090955,0.068779,2.000000,0.155715,0.335255,0.399991,0.264754,0.411781,0.362496,0.225723
9,C3_broad_1to1,0.147172,0.081723,0.065449,2.000000,0.157312,0.335860,0.398775,0.265365,0.413801,0.362541,0.223658
10,C3_broad_1to1,0.135510,0.074382,0.061127,2.000000,0.159094,0.338143,0.397234,0.264623,0.414672,0.362207,0.223120
11,C3_broad_1to1,0.130546,0.069828,0.060718,2.000000,0.161057,0.338786,0.396856,0.264358,0.415049,0.362484,0.222467
12,C3_broad_1to1,0.124272,0.065832,0.058439,2.000000,0.163195,0.339781,0.394892,0.265327,0.415714,0.362404,0.221882
13,C3_broad_1to1,0.120831,0.063970,0.056861,2.000000,0.165503,0.341199,0.394617,0.264184,0.416305,0.362529,0.221166
14,C3_broad_1to1,0.118278,0.061909,0.056369,2.000000,0.167974,0.342596,0.393150,0.264254,0.415765,0.362506,0.221729
15,C3_broad_1to1,0.111739,0.057858,0.053882,2.000000,0.170600,0.344952,0.391740,0.263308,0.416849,0.361943,0.221208
16,C3_broad_1to1,0.108200,0.054569,0.053631,2.000000,0.173376,0.343393,0.392262,0.264345,0.415718,0.361739,0.222544
17,C3_broad_1to1,0.104982,0.053178,0.051804,2.000000,0.176294,0.342350,0.393041,0.264610,0.414594,0.363183,0.222222
18,C3_broad_1to1,0.104527,0.052669,0.051858,2.000000,0.179345,0.344055,0.391429,0.264515,0.415106,0.364077,0.220817
19,C3_broad_1to1,0.098630,0.049910,0.048721,2.000000,0.182521,0.343540,0.391268,0.265192,0.414714,0.364892,0.220394
20,C3_broad_1to1,0.096712,0.048388,0.048324,2.000000,0.185814,0.343109,0.391383,0.265509,0.416278,0.364910,0.218812
21,C3_broad_1to1,0.094585,0.046903,0.047682,2.000000,0.189214,0.344434,0.390219,0.265347,0.416197,0.365015,0.218788
22,C3_broad_1to1,0.094065,0.046741,0.047324,2.000000,0.192712,0.346028,0.388179,0.265793,0.417037,0.363501,0.219462
23,C3_broad_1to1,0.092586,0.046031,0.046555,2.000000,0.196298,0.346062,0.387332,0.266606,0.417815,0.363333,0.218852
24,C3_broad_1to1,0.092702,0.045507,0.047196,2.000000,0.199964,0.347225,0.386241,0.266534,0.417803,0.363589,0.218608
25,C3_broad_1to1,0.091403,0.045212,0.046191,2.000000,0.203698,0.346326,0.386753,0.266921,0.418477,0.362769,0.218754
26,C3_broad_1to1,0.088445,0.044083,0.044362,2.000000,0.207490,0.346367,0.386430,0.267202,0.417621,0.363348,0.219031
27,C3_broad_1to1,0.085484,0.042886,0.042598,2.000000,0.211330,0.347483,0.385827,0.266689,0.418773,0.363421,0.217806
28,C3_broad_1to1,0.082011,0.040324,0.041688,2.000000,0.215208,0.348781,0.384789,0.266430,0.417634,0.364100,0.218266
29,C3_broad_1to1,0.080738,0.039726,0.041012,2.000000,0.219112,0.349742,0.384795,0.265463,0.417932,0.364926,0.217142
30,C3_broad_1to1,0.081804,0.040370,0.041433,2.000000,0.223033,0.350589,0.383918,0.265493,0.417891,0.365473,0.216636
