epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
41,C3_broad_1to1,0.072227,0.035666,0.036561,2.000000,0.264180,0.334391,0.396605,0.269004,0.440830,0.343193,0.215977
42,C3_broad_1to1,0.071940,0.035563,0.036376,2.000000,0.267472,0.334924,0.395126,0.269950,0.441551,0.344276,0.214173
43,C3_broad_1to1,0.069234,0.034029,0.035205,2.000000,0.270649,0.335145,0.394650,0.270205,0.441303,0.345737,0.212959
44,C3_broad_1to1,0.070707,0.034732,0.035975,2.000000,0.273700,0.335811,0.394293,0.269897,0.441384,0.346136,0.212479
45,C3_broad_1to1,0.068763,0.033372,0.035391,2.000000,0.276618,0.336610,0.393557,0.269832,0.442302,0.346576,0.211122
46,C3_broad_1to1,0.068341,0.033590,0.034751,2.000000,0.279394,0.337765,0.393219,0.269016,0.442290,0.344643,0.213067
47,C3_broad_1to1,0.068334,0.033360,0.034974,2.000000,0.282021,0.336242,0.393196,0.270563,0.442383,0.345238,0.212378
48,C3_broad_1to1,0.065811,0.032334,0.033477,2.000000,0.284492,0.336591,0.392028,0.271381,0.442219,0.346302,0.211479
49,C3_broad_1to1,0.067358,0.033131,0.034228,2.000000,0.286800,0.337071,0.391136,0.271793,0.442237,0.345598,0.212165
50,C3_broad_1to1,0.067128,0.032618,0.034510,2.000000,0.288939,0.337653,0.391350,0.270996,0.442089,0.346329,0.211582
51,C3_broad_1to1,0.064891,0.031723,0.033168,2.000000,0.290902,0.338358,0.391163,0.270479,0.441986,0.347488,0.210526
52,C3_broad_1to1,0.065062,0.031642,0.033421,2.000000,0.292684,0.337927,0.391272,0.270801,0.442329,0.347144,0.210526
53,C3_broad_1to1,0.064627,0.031750,0.032877,2.000000,0.294282,0.337454,0.391465,0.271080,0.442756,0.346620,0.210624
54,C3_broad_1to1,0.063886,0.030893,0.032992,2.000000,0.295689,0.337911,0.390539,0.271550,0.441284,0.346734,0.211982
55,C3_broad_1to1,0.064428,0.031572,0.032856,2.000000,0.296902,0.337632,0.389874,0.272493,0.441556,0.347335,0.211110
56,C3_broad_1to1,0.065018,0.032083,0.032935,2.000000,0.297919,0.338872,0.388837,0.272291,0.442687,0.346804,0.210509
57,C3_broad_1to1,0.062503,0.030297,0.032206,2.000000,0.298735,0.338840,0.389415,0.271745,0.443760,0.347021,0.209219
58,C3_broad_1to1,0.061788,0.030065,0.031723,2.000000,0.299349,0.338942,0.389346,0.271712,0.442670,0.346790,0.210539
59,C3_broad_1to1,0.062472,0.030726,0.031746,2.000000,0.299760,0.339124,0.389006,0.271870,0.441935,0.346585,0.211480
60,C3_broad_1to1,0.061618,0.029753,0.031865,2.000000,0.299966,0.339943,0.387707,0.272350,0.441818,0.347410,0.210773
61,C3_anneal,0.180449,0.047144,0.090218,1.001980,0.300154,0.339002,0.389192,0.271807,0.439392,0.348495,0.212113
62,C3_anneal,0.161816,0.052352,0.080908,1.000000,0.301077,0.339069,0.388541,0.272390,0.438573,0.348818,0.212610
63,C3_anneal,0.154306,0.055329,0.077153,1.000000,0.302918,0.340110,0.387864,0.272026,0.436703,0.348982,0.214315
64,C3_anneal,0.149978,0.053716,0.074989,1.000000,0.305666,0.339195,0.387491,0.273314,0.436928,0.350053,0.213019
65,C3_anneal,0.151736,0.057520,0.075868,1.000000,0.309303,0.338795,0.388114,0.273091,0.439238,0.348460,0.212302
66,C3_anneal,0.154021,0.059469,0.077011,1.000000,0.313809,0.338779,0.387127,0.274094,0.438681,0.348164,0.213155
67,C3_anneal,0.150620,0.058902,0.075310,1.000000,0.319154,0.339135,0.386810,0.274055,0.439092,0.348275,0.212632
68,C3_anneal,0.140522,0.060675,0.070261,1.000000,0.325305,0.339771,0.386162,0.274067,0.440065,0.347776,0.212159
69,C3_anneal,0.142167,0.058388,0.071083,1.000000,0.332226,0.339761,0.385083,0.275156,0.441344,0.346056,0.212600
