epoch,S,Fw,E,MAE
30,0.6181,0.3338,0.8989,0.1286
35,0.6994,0.4355,0.9029,0.0839
40,0.6784,0.4023,0.9030,0.1030
45,0.7667,0.5326,0.9154,0.0556
50,0.7588,0.5210,0.9121,0.0610
55,0.7894,0.5824,0.9107,0.0492
60,0.6972,0.4198,0.9046,0.0942
65,0.8082,0.6662,0.9130,0.0394
70,0.8138,0.6841,0.9106,0.0393
75,0.8449,0.7609,0.9249,0.0279
80,0.8510,0.7741,0.9297,0.0263
85,0.8506,0.7739,0.9282,0.0262
90,0.8508,0.7730,0.9268,0.0261
95,0.8496,0.7738,0.9271,0.0265
100,0.8519,0.7758,0.9277,0.0259
105,0.8484,0.7717,0.9251,0.0270
110,0.8515,0.7756,0.9283,0.0255
115,0.8496,0.7728,0.9263,0.0264
120,0.8487,0.7738,0.9288,0.0263
125,0.8495,0.7752,0.9288,0.0262
130,0.8506,0.7764,0.9290,0.0261
135,0.8500,0.7751,0.9277,0.0262
140,0.8500,0.7754,0.9280,0.0263
145,0.8504,0.7763,0.9288,0.0262
150,0.8504,0.7763,0.9289,0.0260
