epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
1,C3_broad_1to1,0.808891,0.487293,0.321597,2.000000,0.150034,0.318596,0.394506,0.286898,0.442265,0.341161,0.216574
2,C3_broad_1to1,0.526216,0.313949,0.212267,2.000000,0.150239,0.326002,0.403908,0.270091,0.430828,0.344136,0.225036
3,C3_broad_1to1,0.371947,0.222535,0.149411,2.000000,0.150650,0.328176,0.407416,0.264408,0.426752,0.345545,0.227704
4,C3_broad_1to1,0.271604,0.163903,0.107701,2.000000,0.151264,0.326510,0.409027,0.264463,0.430382,0.344914,0.224704
5,C3_broad_1to1,0.208543,0.125965,0.082578,2.000000,0.152080,0.325427,0.410751,0.263822,0.428287,0.346618,0.225095
6,C3_broad_1to1,0.175400,0.105104,0.070296,2.000000,0.153096,0.325082,0.410717,0.264201,0.431050,0.346493,0.222457
7,C3_broad_1to1,0.150806,0.088478,0.062328,2.000000,0.154309,0.324842,0.410189,0.264969,0.430897,0.345306,0.223797
8,C3_broad_1to1,0.134000,0.077257,0.056743,2.000000,0.155715,0.324805,0.410428,0.264768,0.431082,0.345907,0.223011
9,C3_broad_1to1,0.122505,0.068992,0.053512,2.000000,0.157312,0.324407,0.409574,0.266019,0.432744,0.344527,0.222729
10,C3_broad_1to1,0.114061,0.063223,0.050838,2.000000,0.159094,0.323831,0.408638,0.267531,0.435154,0.344233,0.220613
11,C3_broad_1to1,0.107870,0.058015,0.049856,2.000000,0.161057,0.323331,0.408324,0.268345,0.434879,0.346118,0.219003
12,C3_broad_1to1,0.101390,0.054086,0.047303,2.000000,0.163195,0.323119,0.407342,0.269539,0.436513,0.345998,0.217489
13,C3_broad_1to1,0.098726,0.052409,0.046318,2.000000,0.165503,0.322036,0.406920,0.271044,0.438980,0.344329,0.216691
14,C3_broad_1to1,0.097483,0.051326,0.046157,2.000000,0.167974,0.321008,0.406548,0.272444,0.440565,0.344540,0.214895
15,C3_broad_1to1,0.089419,0.046627,0.042793,2.000000,0.170600,0.321954,0.405445,0.272602,0.441080,0.343618,0.215302
16,C3_broad_1to1,0.084764,0.042633,0.042130,2.000000,0.173376,0.322403,0.403807,0.273790,0.441068,0.343428,0.215505
17,C3_broad_1to1,0.083438,0.042075,0.041363,2.000000,0.176294,0.321618,0.404901,0.273482,0.441406,0.344488,0.214105
18,C3_broad_1to1,0.083041,0.041788,0.041253,2.000000,0.179345,0.321969,0.403076,0.274955,0.441065,0.345239,0.213696
19,C3_broad_1to1,0.080011,0.040419,0.039592,2.000000,0.182521,0.320891,0.403231,0.275879,0.440700,0.346434,0.212866
20,C3_broad_1to1,0.078397,0.039086,0.039311,2.000000,0.185814,0.322700,0.401021,0.276278,0.440197,0.346409,0.213394
21,C3_broad_1to1,0.073683,0.036603,0.037080,2.000000,0.189214,0.322379,0.400780,0.276841,0.441724,0.345227,0.213049
22,C3_broad_1to1,0.075584,0.037457,0.038128,2.000000,0.192712,0.321251,0.401056,0.277693,0.441355,0.345723,0.212922
23,C3_broad_1to1,0.074288,0.037042,0.037247,2.000000,0.196298,0.321081,0.400387,0.278532,0.441920,0.345342,0.212739
24,C3_broad_1to1,0.071648,0.035356,0.036292,2.000000,0.199964,0.321255,0.400046,0.278698,0.440475,0.345712,0.213813
25,C3_broad_1to1,0.069453,0.034330,0.035123,2.000000,0.203698,0.322449,0.398908,0.278644,0.438697,0.347942,0.213362
26,C3_broad_1to1,0.068417,0.034364,0.034053,2.000000,0.207490,0.322091,0.399085,0.278824,0.438737,0.349154,0.212109
