epoch,S,Fw,E,MAE
30,0.6419,0.4632,0.8897,0.2014
35,0.6086,0.4323,0.8766,0.2338
40,0.6848,0.5093,0.8989,0.1651
45,0.6893,0.5136,0.8890,0.1622
50,0.7269,0.5527,0.9012,0.1360
55,0.7355,0.5655,0.8948,0.1301
60,0.7492,0.5941,0.8965,0.1184
65,0.7133,0.5707,0.8839,0.1245
70,0.7938,0.6938,0.9026,0.0805
75,0.8342,0.7861,0.9073,0.0619
80,0.8353,0.7951,0.9107,0.0589
85,0.8398,0.8001,0.9127,0.0557
90,0.8283,0.7881,0.9045,0.0589
95,0.8309,0.7921,0.9087,0.0584
100,0.8230,0.7782,0.8945,0.0626
105,0.8330,0.7924,0.9085,0.0584
110,0.8221,0.7777,0.8971,0.0628
115,0.8323,0.7891,0.9023,0.0600
120,0.8323,0.7890,0.9015,0.0612
125,0.8312,0.7889,0.9010,0.0600
130,0.8325,0.7911,0.9029,0.0594
135,0.8319,0.7906,0.9038,0.0596
140,0.8299,0.7885,0.9018,0.0602
145,0.8299,0.7881,0.9020,0.0603
150,0.8299,0.7879,0.9022,0.0602
