epoch,stage,clean_count,noisy_count,unvalue_count,clean_prob,noisy_prob,unvalue_prob
41,box_introduction,4,3,1,0.500000,0.375000,0.125000
42,box_introduction,4,3,1,0.500000,0.375000,0.125000
43,box_introduction,4,3,1,0.500000,0.375000,0.125000
44,box_introduction,4,3,1,0.500000,0.375000,0.125000
45,box_introduction,4,3,1,0.500000,0.375000,0.125000
46,box_introduction,4,3,1,0.500000,0.375000,0.125000
47,box_introduction,4,3,1,0.500000,0.375000,0.125000
48,box_introduction,4,3,1,0.500000,0.375000,0.125000
49,box_introduction,4,3,1,0.500000,0.375000,0.125000
50,box_introduction,4,3,1,0.500000,0.375000,0.125000
51,box_introduction,4,3,1,0.500000,0.375000,0.125000
52,box_introduction,4,3,1,0.500000,0.375000,0.125000
53,box_introduction,4,3,1,0.500000,0.375000,0.125000
54,box_introduction,4,3,1,0.500000,0.375000,0.125000
55,box_introduction,4,3,1,0.500000,0.375000,0.125000
56,box_introduction,4,3,1,0.500000,0.375000,0.125000
57,box_introduction,4,3,1,0.500000,0.375000,0.125000
58,box_introduction,4,3,1,0.500000,0.375000,0.125000
59,box_introduction,4,3,1,0.500000,0.375000,0.125000
60,box_introduction,4,3,1,0.500000,0.375000,0.125000
61,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
62,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
63,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
64,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
65,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
66,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
67,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
68,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
69,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
70,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
71,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
72,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
73,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
74,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
75,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
76,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
77,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
78,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
79,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
80,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
81,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
82,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
83,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
84,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
85,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
86,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
87,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
88,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
89,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
90,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
91,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
92,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
93,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
94,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
95,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
96,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
97,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
98,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
99,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
100,teacher_recovery,3,3,2,0.375000,0.375000,0.250000
101,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
102,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
103,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
104,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
105,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
106,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
107,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
108,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
109,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
110,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
111,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
112,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
113,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
114,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
115,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
116,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
117,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
118,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
119,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
120,hard_consolidation,4,2,2,0.500000,0.250000,0.250000
121,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
122,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
123,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
124,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
125,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
126,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
127,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
128,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
129,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
130,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
131,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
132,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
133,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
134,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
135,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
136,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
137,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
138,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
139,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
140,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
141,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
142,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
143,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
144,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
145,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
146,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
147,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
148,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
149,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
150,reliable_finetune,5,2,1,0.625000,0.250000,0.125000
