epoch,stage,total,bce
138,C3_anneal,0.012353,0.012353
139,C3_anneal,0.011599,0.011599
140,C3_anneal,0.012199,0.012199
141,C3_reliable_0p3,0.011751,0.011751
142,C3_reliable_0p3,0.011963,0.011963
143,C3_reliable_0p3,0.012489,0.012489
144,C3_reliable_0p3,0.012794,0.012794
145,C3_reliable_0p3,0.012225,0.012225
146,C3_reliable_0p3,0.012178,0.012178
147,C3_reliable_0p3,0.011913,0.011913
148,C3_reliable_0p3,0.012531,0.012531
149,C3_reliable_0p3,0.011380,0.011380
150,C3_reliable_0p3,0.011626,0.011626
