epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_residual_ratio,p4_residual_ratio,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
30,C3_broad_1to1,0.048298,0.015785,0.032513,1.983373,0.015785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978068,1.983373,1.983373,0.500000,0.000000
31,C3_broad_1to1,0.045213,0.014519,0.030694,1.978366,0.014519,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978209,1.978366,1.978366,0.500000,0.000000
32,C3_broad_1to1,0.043670,0.013890,0.029779,1.972732,0.013890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978133,1.972732,1.972732,0.500000,0.000000
33,C3_broad_1to1,0.042229,0.013130,0.029100,1.966488,0.013130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978144,1.966488,1.966488,0.500000,0.000000
34,C3_broad_1to1,0.041698,0.012994,0.028704,1.959651,0.012994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978394,1.959651,1.959651,0.500000,0.000000
35,C3_broad_1to1,0.042004,0.013381,0.028624,1.952239,0.013381,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978029,1.952239,1.952239,0.500000,0.000000
36,C3_broad_1to1,0.043651,0.013690,0.029961,1.944272,0.013690,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978009,1.944272,1.944272,0.500000,0.000000
37,C3_broad_1to1,0.044520,0.013818,0.030702,1.935774,0.013818,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978464,1.935774,1.935774,0.500000,0.000000
38,C3_broad_1to1,0.040296,0.012327,0.027969,1.926766,0.012327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978023,1.926766,1.926766,0.500000,0.000000
39,C3_broad_1to1,0.040748,0.012338,0.028410,1.917273,0.012338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977990,1.917273,1.917273,0.500000,0.000000
40,C3_broad_1to1,0.040778,0.012105,0.028674,1.907322,0.012105,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978174,1.907322,1.907322,0.500000,0.000000
41,C3_broad_1to1,0.038645,0.011229,0.027416,1.896940,0.011229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978043,1.896940,1.896940,0.500000,0.000000
42,C3_broad_1to1,0.039168,0.011010,0.028158,1.886155,0.011010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978168,1.886155,1.886155,0.500000,0.000000
43,C3_broad_1to1,0.040018,0.011485,0.028533,1.874997,0.011485,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978024,1.874997,1.874997,0.500000,0.000000
44,C3_broad_1to1,0.039254,0.011209,0.028045,1.863496,0.011209,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977636,1.863496,1.863496,0.500000,0.000000
45,C3_broad_1to1,0.038994,0.010811,0.028183,1.851684,0.010811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978277,1.851684,1.851684,0.500000,0.000000
46,C3_broad_1to1,0.039427,0.010815,0.028612,1.839594,0.010815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978450,1.839594,1.839594,0.500000,0.000000
47,C3_broad_1to1,0.037750,0.010013,0.027737,1.827258,0.010013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978272,1.827258,1.827258,0.500000,0.000000
48,C3_broad_1to1,0.039722,0.010583,0.029138,1.814710,0.010583,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978172,1.814710,1.814710,0.500000,0.000000
49,C3_broad_1to1,0.042734,0.012377,0.030357,1.801985,0.012377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978026,1.801985,1.801985,0.500000,0.000000
50,C3_broad_1to1,0.039219,0.010482,0.028737,1.789117,0.010482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977988,1.789117,1.789117,0.500000,0.000000
51,C3_broad_1to1,0.039345,0.010173,0.029172,1.776142,0.010173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978534,1.776142,1.776142,0.500000,0.000000
52,C3_broad_1to1,0.038385,0.009985,0.028399,1.763095,0.009985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978037,1.763095,1.763095,0.500000,0.000000
53,C3_broad_1to1,0.041031,0.011777,0.029255,1.750013,0.011777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977650,1.750013,1.750013,0.500000,0.000000
54,C3_broad_1to1,0.038117,0.009942,0.028174,1.736930,0.009942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977876,1.736930,1.736930,0.500000,0.000000
55,C3_broad_1to1,0.038531,0.009679,0.028852,1.723884,0.009679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977962,1.723884,1.723884,0.500000,0.000000
56,C3_broad_1to1,0.038741,0.009104,0.029637,1.710909,0.009104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978763,1.710909,1.710909,0.500000,0.000000
57,C3_broad_1to1,0.041452,0.010112,0.031340,1.698041,0.010112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978093,1.698041,1.698041,0.500000,0.000000
58,C3_broad_1to1,0.040385,0.010408,0.029977,1.685315,0.010408,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977763,1.685315,1.685315,0.500000,0.000000
59,C3_broad_1to1,0.039278,0.009689,0.029588,1.672767,0.009689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977631,1.672767,1.672767,0.500000,0.000000
60,C3_broad_1to1,0.042373,0.009928,0.032444,1.660430,0.009928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.978075,1.660430,1.660430,0.500000,0.000000
