epoch,S,Fw,E,MAE
30,0.5692,0.2976,0.8708,0.1659
35,0.6099,0.3385,0.8988,0.1395
40,0.6750,0.4125,0.9063,0.1010
45,0.5995,0.3215,0.9077,0.1441
50,0.7105,0.4655,0.9108,0.0805
55,0.6231,0.3541,0.9089,0.1166
60,0.6894,0.4278,0.9193,0.0857
65,0.6892,0.4322,0.9167,0.0845
70,0.8232,0.6620,0.9232,0.0387
75,0.8512,0.7309,0.9322,0.0291
80,0.8559,0.7507,0.9297,0.0277
85,0.8622,0.7641,0.9333,0.0258
90,0.8604,0.7619,0.9320,0.0254
95,0.8628,0.7658,0.9346,0.0249
100,0.8558,0.7619,0.9288,0.0255
105,0.8607,0.7673,0.9322,0.0252
110,0.8616,0.7685,0.9327,0.0250
115,0.8613,0.7672,0.9308,0.0251
120,0.8604,0.7671,0.9323,0.0255
125,0.8612,0.7696,0.9318,0.0253
130,0.8612,0.7706,0.9313,0.0251
135,0.8602,0.7705,0.9307,0.0251
140,0.8596,0.7709,0.9312,0.0251
145,0.8600,0.7705,0.9306,0.0250
150,0.8600,0.7707,0.9309,0.0251
