epoch,stage,total,bce
137,C3_reliable_0p3,0.077954,0.029655
138,C3_reliable_0p3,0.076378,0.030871
139,C3_reliable_0p3,0.075865,0.029586
140,C3_reliable_0p3,0.079129,0.029192
141,C3_reliable_0p3,0.074402,0.029842
142,C3_reliable_0p3,0.074139,0.029434
143,C3_reliable_0p3,0.075939,0.029356
144,C3_reliable_0p3,0.073828,0.029627
145,C3_reliable_0p3,0.075153,0.030527
146,C3_reliable_0p3,0.073387,0.028914
147,C3_reliable_0p3,0.075426,0.028675
148,C3_reliable_0p3,0.075194,0.029110
149,C3_reliable_0p3,0.075558,0.029209
150,C3_reliable_0p3,0.072527,0.029198
