epoch,stage,total,bce
138,C3_anneal,0.008142,0.008142
139,C3_anneal,0.008335,0.008335
140,C3_anneal,0.008596,0.008596
141,C3_reliable_0p3,0.008050,0.008050
142,C3_reliable_0p3,0.008038,0.008038
143,C3_reliable_0p3,0.008171,0.008171
144,C3_reliable_0p3,0.007902,0.007902
145,C3_reliable_0p3,0.007697,0.007697
146,C3_reliable_0p3,0.007907,0.007907
147,C3_reliable_0p3,0.007924,0.007924
148,C3_reliable_0p3,0.007840,0.007840
149,C3_reliable_0p3,0.008043,0.008043
150,C3_reliable_0p3,0.008054,0.008054
