epoch,stage,stage_age,bce,kd,kd_coef,loss_drop,ema_consistency,saturation_count,switched,switch_reason
65,C3_easy_51_150,15,0.012373,0.191626,0.000000,,0.881353,0,0,
66,C3_easy_51_150,16,0.013166,0.189825,0.000000,,0.877660,0,0,
67,C3_easy_51_150,17,0.012959,0.184169,0.000000,,0.882993,0,0,
68,C3_easy_51_150,18,0.013536,0.184496,0.000000,,0.880166,0,0,
69,C3_easy_51_150,19,0.012699,0.178526,0.000000,,0.884107,0,0,
70,C3_easy_51_150,20,0.012288,0.171422,0.000000,,0.881780,0,0,
71,C3_easy_51_150,21,0.012483,0.169026,0.000000,,0.884676,0,0,
72,C3_easy_51_150,22,0.012679,0.168811,0.000000,,0.883272,0,0,
73,C3_easy_51_150,23,0.011730,0.161534,0.000000,,0.888465,0,0,
74,C3_easy_51_150,24,0.011635,0.159365,0.000000,,0.885889,0,0,
75,C3_easy_51_150,25,0.011766,0.157476,0.000000,,0.884809,0,0,
76,C3_easy_51_150,26,0.012041,0.157190,0.000000,,0.887270,0,0,
77,C3_easy_51_150,27,0.011195,0.151327,0.000000,,0.883611,0,0,
78,C3_easy_51_150,28,0.011654,0.148897,0.000000,,0.885880,0,0,
79,C3_easy_51_150,29,0.011328,0.146006,0.000000,,0.890040,0,0,
80,C3_easy_51_150,30,0.011124,0.144310,0.000000,,0.891436,0,0,
81,C3_easy_51_150,31,0.012333,0.150498,0.000000,,0.894580,0,0,
82,C3_easy_51_150,32,0.011067,0.144307,0.000000,,0.893260,0,0,
83,C3_easy_51_150,33,0.011254,0.142438,0.000000,,0.893472,0,0,
84,C3_easy_51_150,34,0.011525,0.138870,0.000000,,0.897057,0,0,
85,C3_easy_51_150,35,0.010966,0.133335,0.000000,,0.894037,0,0,
86,C3_easy_51_150,36,0.010813,0.129934,0.000000,,0.897828,0,0,
87,C3_easy_51_150,37,0.010892,0.127898,0.000000,,0.898174,0,0,
88,C3_easy_51_150,38,0.011375,0.129223,0.000000,,0.893465,0,0,
