epoch,S,Fw,E,MAE
10,0.8707,0.8093,0.9299,0.0399
15,0.8707,0.8100,0.9271,0.0397
20,0.8652,0.8047,0.9261,0.0402
25,0.8700,0.8131,0.9305,0.0392
30,0.8670,0.8130,0.9303,0.0397
35,0.8712,0.8194,0.9345,0.0376
