epoch,total,mask,full_mask,weak_mask,full_init,full_final,weak_init,weak_final,edge,ual,ual_raw,ual_coef,q
1,2.3571405501365663,1.6066903924942018,1.8419408231973649,1.3714399670362472,0.9460864590406418,0.8958543649315834,0.6295228224396706,0.7419171445965766,0.6210803232192993,0.12936984114722871,0.23255569154024125,0.5010000000000002,2.0
2,1.6765007040500641,1.102636701107025,1.0868963731527328,1.1183770285844803,0.6194812031984329,0.4674151700735092,0.5162143467664718,0.6021626842916011,0.4891966998577118,0.08466730595228023,0.11315368261933327,0.5010000000000002,2.0
3,1.3745817116498946,0.8800139455795288,0.8294373243451119,0.930590565443039,0.49540393620729445,0.3340333864092827,0.4357784395217896,0.4948121238946915,0.42556731146574023,0.06900044986380885,0.09128918509930373,0.5010000000000002,2.0
4,1.088793433904648,0.7012795974016189,0.6903182290196419,0.7122409656643868,0.42379332357645033,0.2665249043107033,0.34193154495954514,0.3703094214498997,0.337488855689764,0.05002497875180347,0.06535022144764661,0.5010000000000002,2.0
5,0.9127635195255279,0.5864651224017143,0.5941875607371331,0.5787426825761796,0.37195087617635725,0.2222366836667061,0.28346473950147627,0.29527794326841833,0.2868079379200935,0.0394904592604488,0.050523990955203775,0.5010000000000002,2.0
6,0.8265042805671692,0.5309037509560585,0.5392359445691108,0.5225715584158898,0.34346306908130647,0.19577287550270558,0.25815772992372515,0.2644138285815716,0.2614270812571049,0.03417344995000951,0.044400324534624815,0.5010000000000002,2.0
7,0.7719630444049835,0.49480072188377383,0.5048113121390343,0.4847901314496994,0.3252260317504406,0.17958528109639882,0.24100315684080123,0.24378697380423545,0.24511670681834222,0.03204561426720807,0.04079819709248841,0.5010000000000002,2.0
8,0.733035916686058,0.46965962344408035,0.47558142232894896,0.4637378239929676,0.3108481722474098,0.16473324979841708,0.2307113781273365,0.23302644522488117,0.23310692417621612,0.030269369474189376,0.037024027040228245,0.5010000000000002,2.0
9,0.6877748711705208,0.4402299953699112,0.44947411119937897,0.4309858774840832,0.29770950543880464,0.15176460602879524,0.2166170369386673,0.2143688396513462,0.2196001271009445,0.02794474961003709,0.03414267534576356,0.5010000000000002,2.0
10,0.7376053780317307,0.47587885123491286,0.47611738023161887,0.4756403228640556,0.3102976776361465,0.165819702103734,0.23629946811497213,0.23934085339307784,0.23180731981992722,0.029919207518779672,0.0428890318274498,0.5010000000000002,2.0
11,0.6321526394486428,0.404064614802599,0.4139533772170544,0.3941758535206318,0.2802311119139195,0.13372226551920174,0.20012513519823552,0.19405071850121022,0.2031146831214428,0.02497334111892394,0.031013587754219772,0.5010000000000002,2.0
12,0.6109398342370987,0.39112498754262925,0.4017360524833202,0.3805139234662056,0.27451940712332723,0.1272166451662779,0.19368489007651807,0.18682903356850147,0.19609642085433007,0.023718423095217475,0.02880905774794519,0.5010000000000002,2.0
13,0.6088791222572326,0.38966480043530466,0.3970348932147026,0.38229470708966257,0.27248032589256765,0.1245545673891902,0.19486877013742923,0.18742593690752984,0.19574573996663094,0.02346858206217672,0.03069526058062911,0.5010000000000002,2.0
14,0.6018941710591317,0.38512966719269753,0.38765996968746186,0.38259936386346816,0.26847149281203747,0.11918847623467445,0.1939734756797552,0.18862588761746885,0.19285497799515725,0.023909525329038415,0.029477561915293337,0.5010000000000002,2.0
15,0.5891255449056625,0.3768397072851658,0.38171395775675776,0.3719654556214809,0.2655631687194109,0.1161507902443409,0.18986954629421235,0.18209590945392848,0.19000770446658136,0.022278132749229542,0.03001012228243053,0.5010000000000002,2.0
16,0.5626282167434692,0.36021026173233983,0.3670998593866825,0.35332066294550896,0.2587248769104481,0.10837498319149018,0.1813442712277174,0.17197639192640782,0.18081368568539619,0.0216042700306877,0.026632817642763255,0.5010000000000002,2.0
17,0.5524342040419579,0.35354520988464355,0.3602795587480068,0.3468108613491058,0.2556946861743927,0.10458487283438445,0.17882086591422558,0.16798999521136285,0.17790074157714844,0.020988252596573487,0.026822686022147536,0.5010000000000002,2.0
18,0.5512854593396187,0.3526152756810188,0.35763176959753035,0.34759878247976306,0.25408755204081535,0.10354421798139811,0.1786716266721487,0.16892715513706208,0.1775249255001545,0.021145255304600995,0.026203079076483844,0.5010000000000002,2.0
19,0.547438191473484,0.3506189889907837,0.35353272217512133,0.3477052543759346,0.25254153513908384,0.10099118661880493,0.1788124859780073,0.16889276792109012,0.17588111957907676,0.020938083309526918,0.026192266701720656,0.5010000000000002,2.0
20,0.5332856550216675,0.34100311654806137,0.3474431850165129,0.3345630461573601,0.2493431806564331,0.09810000439733267,0.17298620803654194,0.1615768390148878,0.1720741991996765,0.020208339653811122,0.02538520406652242,0.5010000000000002,2.0
