epoch,stage,total,bce,aux_p3,aux_p3_weight,clean_iou,unvalue_accepted,unvalue_batch_count,unvalue_consistency,unvalue_dynamic,unvalue_dynamic_weight,unvalue_out,unvalue_out_weight,unvalue_reliable_pixel
37,mask_warmup,0.017388,0.017388,0.000000,0.000000,0.128977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,mask_warmup,0.016578,0.016578,0.000000,0.000000,0.127203,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
39,mask_warmup,0.016693,0.016693,0.000000,0.000000,0.123682,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,mask_warmup,0.016506,0.016506,0.000000,0.000000,0.122318,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,box_introduction,0.015747,0.015740,0.000000,0.000000,0.123511,0.928713,1.000000,0.000548,0.093636,0.000000,0.018471,0.000410,0.795278
42,box_introduction,0.016123,0.016049,0.000000,0.000000,0.125364,0.920792,1.000000,0.000697,0.095572,0.000000,0.030890,0.002859,0.800171
43,box_introduction,0.015640,0.015532,0.000000,0.000000,0.120020,0.930693,1.000000,0.000252,0.081123,0.000000,0.014406,0.007701,0.803583
44,box_introduction,0.015703,0.015500,0.000000,0.000000,0.115174,0.914851,1.000000,0.000550,0.082856,0.000000,0.014249,0.014815,0.805180
45,box_introduction,0.014576,0.014396,0.000000,0.000000,0.116932,0.914851,1.000000,0.000588,0.085567,0.000000,0.007552,0.024027,0.800089
46,box_introduction,0.015364,0.015171,0.000000,0.000000,0.121088,0.895050,1.000000,0.001018,0.093188,0.000000,0.005526,0.035110,0.795201
47,box_introduction,0.016975,0.016394,0.000000,0.000000,0.123202,0.897030,1.000000,0.001274,0.093828,0.000000,0.012309,0.047791,0.807109
48,box_introduction,0.016560,0.015808,0.000000,0.000000,0.122100,0.922772,1.000000,0.002453,0.105585,0.000000,0.012132,0.061757,0.803683
49,box_introduction,0.015736,0.015185,0.000000,0.000000,0.116585,0.859406,1.000000,0.000463,0.088967,0.000000,0.007357,0.076664,0.802631
50,box_introduction,0.014856,0.014467,0.000000,0.000000,0.114369,0.920792,1.000000,0.000140,0.088650,0.000000,0.004185,0.092147,0.828664
51,box_introduction,0.015299,0.014818,0.000000,0.000000,0.118535,0.893069,1.000000,0.001114,0.088432,0.000000,0.004380,0.107822,0.818676
52,box_introduction,0.015053,0.014495,0.000000,0.000000,0.116032,0.871287,1.000000,0.000244,0.078953,0.000000,0.004521,0.123305,0.819296
53,box_introduction,0.014644,0.014339,0.000000,0.000000,0.113872,0.883168,1.000000,0.000144,0.088520,0.000000,0.002177,0.138215,0.829416
54,box_introduction,0.015239,0.014957,0.000000,0.000000,0.111111,0.893069,1.000000,0.000276,0.089303,0.000000,0.001838,0.152183,0.828398
55,box_introduction,0.017570,0.017022,0.000000,0.000000,0.122349,0.900990,1.000000,0.000445,0.100591,0.000000,0.003324,0.164866,0.819826
56,box_introduction,0.015912,0.015365,0.000000,0.000000,0.121047,0.863366,1.000000,0.000589,0.086693,0.000000,0.003122,0.175952,0.826631
57,box_introduction,0.017431,0.016566,0.000000,0.000000,0.116851,0.881188,1.000000,0.001003,0.099490,0.000000,0.004685,0.185168,0.806056
58,box_introduction,0.017184,0.016401,0.000000,0.000000,0.120071,0.897030,1.000000,0.001303,0.081793,0.000000,0.004090,0.192287,0.816192
59,box_introduction,0.015347,0.014986,0.000000,0.000000,0.112993,0.883168,1.000000,0.000408,0.085914,0.000000,0.001832,0.197133,0.820267
60,box_introduction,0.014132,0.013758,0.000000,0.000000,0.110405,0.861386,1.000000,0.000224,0.077727,0.000000,0.001878,0.199588,0.835557
61,teacher_recovery,0.013855,0.013599,0.000000,0.000000,0.107450,0.869307,2.000000,0.000160,0.094374,0.000228,0.001181,0.200000,0.834075
62,teacher_recovery,0.015209,0.014796,0.000000,0.000000,0.111260,0.874257,2.000000,0.000419,0.100520,0.001593,0.001285,0.200000,0.836176
63,teacher_recovery,0.014157,0.013597,0.000000,0.000000,0.108556,0.868317,2.000000,0.000409,0.079785,0.004311,0.001075,0.200000,0.846435
64,teacher_recovery,0.015045,0.014323,0.000000,0.000000,0.106912,0.901980,2.000000,0.000131,0.066842,0.008351,0.000892,0.200000,0.848845
65,teacher_recovery,0.016924,0.015868,0.000000,0.000000,0.103126,0.902970,2.000000,0.000804,0.062883,0.013669,0.000987,0.200000,0.866156
66,teacher_recovery,0.016677,0.015059,0.000000,0.000000,0.103826,0.924752,2.000000,0.000852,0.065534,0.020207,0.001560,0.200000,0.868654
67,teacher_recovery,0.015551,0.013878,0.000000,0.000000,0.104909,0.921782,2.000000,0.000883,0.052439,0.027893,0.001058,0.200000,0.882191
68,teacher_recovery,0.017390,0.015059,0.000000,0.000000,0.100374,0.942574,2.000000,0.000930,0.055431,0.036643,0.001623,0.200000,0.880534
69,teacher_recovery,0.019083,0.015438,0.000000,0.000000,0.105492,0.939604,2.000000,0.001716,0.059926,0.046361,0.004152,0.200000,0.891982
70,teacher_recovery,0.018660,0.015697,0.000000,0.000000,0.105539,0.930693,2.000000,0.000611,0.041007,0.056940,0.003074,0.200000,0.897902
71,teacher_recovery,0.023062,0.018493,0.000000,0.000000,0.109511,0.924752,2.000000,0.002502,0.058960,0.068266,0.002646,0.200000,0.888356
72,teacher_recovery,0.020360,0.016490,0.000000,0.000000,0.103923,0.938614,2.000000,0.001002,0.039669,0.080212,0.003474,0.200000,0.894658
73,teacher_recovery,0.018172,0.014996,0.000000,0.000000,0.098959,0.926733,2.000000,0.000540,0.031269,0.092650,0.001442,0.200000,0.911823
74,teacher_recovery,0.020881,0.015943,0.000000,0.000000,0.104891,0.934653,2.000000,0.001383,0.043658,0.105442,0.001520,0.200000,0.907830
75,teacher_recovery,0.019212,0.015168,0.000000,0.000000,0.098280,0.942574,2.000000,0.000407,0.030403,0.118448,0.002101,0.200000,0.907196
76,teacher_recovery,0.020760,0.015999,0.000000,0.000000,0.097339,0.942574,2.000000,0.000862,0.032226,0.131526,0.002501,0.200000,0.919248
77,teacher_recovery,0.021938,0.015715,0.000000,0.000000,0.103374,0.948515,2.000000,0.001549,0.039794,0.144533,0.002086,0.200000,0.914798
78,teacher_recovery,0.024136,0.017435,0.000000,0.000000,0.102496,0.930693,2.000000,0.001312,0.037290,0.157325,0.004058,0.200000,0.918321
79,teacher_recovery,0.026990,0.018371,0.000000,0.000000,0.110189,0.932673,2.000000,0.001856,0.046779,0.169763,0.003026,0.200000,0.919446
80,teacher_recovery,0.022366,0.016456,0.000000,0.000000,0.102561,0.949505,2.000000,0.000962,0.029079,0.181711,0.002854,0.200000,0.922718
81,teacher_recovery,0.027188,0.018943,0.000000,0.000000,0.106068,0.935644,2.000000,0.000822,0.039404,0.193038,0.003033,0.200000,0.920419
82,teacher_recovery,0.023736,0.016940,0.000000,0.000000,0.106320,0.938614,2.000000,0.000994,0.030371,0.203619,0.002833,0.200000,0.926858
83,teacher_recovery,0.028710,0.019652,0.000000,0.000000,0.107269,0.929703,2.000000,0.001632,0.037236,0.213339,0.005072,0.200000,0.926539
84,teacher_recovery,0.032679,0.021578,0.000000,0.000000,0.115867,0.918812,2.000000,0.001739,0.047053,0.222091,0.002831,0.200000,0.924933
85,teacher_recovery,0.025751,0.018311,0.000000,0.000000,0.108491,0.919802,2.000000,0.000700,0.029957,0.229779,0.002629,0.200000,0.925333
86,teacher_recovery,0.022622,0.017204,0.000000,0.000000,0.106388,0.932673,2.000000,0.000299,0.021326,0.236319,0.001828,0.200000,0.932859
87,teacher_recovery,0.022809,0.016292,0.000000,0.000000,0.104995,0.927723,2.000000,0.000624,0.025435,0.241640,0.001719,0.200000,0.934163
88,teacher_recovery,0.025937,0.017736,0.000000,0.000000,0.108444,0.920792,2.000000,0.001495,0.032155,0.245682,0.001149,0.200000,0.932626
89,teacher_recovery,0.025500,0.017737,0.000000,0.000000,0.110933,0.930693,2.000000,0.001510,0.029622,0.248403,0.001658,0.200000,0.932312
90,teacher_recovery,0.027228,0.018473,0.000000,0.000000,0.109025,0.922772,2.000000,0.001947,0.032911,0.249771,0.002195,0.200000,0.933654
91,teacher_recovery,0.026354,0.018257,0.000000,0.000000,0.102170,0.934653,2.000000,0.000779,0.030362,0.250000,0.002336,0.200000,0.936074
92,teacher_recovery,0.025836,0.017790,0.000000,0.000000,0.109783,0.938614,2.000000,0.000725,0.029922,0.250000,0.002644,0.200000,0.933024
93,teacher_recovery,0.030787,0.019573,0.000000,0.000000,0.108808,0.924752,2.000000,0.001877,0.041821,0.250000,0.003323,0.200000,0.931971
94,teacher_recovery,0.029507,0.019405,0.000000,0.000000,0.120232,0.919802,2.000000,0.000878,0.038529,0.250000,0.002133,0.200000,0.932377
95,teacher_recovery,0.029733,0.018946,0.000000,0.000000,0.113821,0.877228,2.000000,0.001670,0.041201,0.250000,0.002016,0.200000,0.938599
96,teacher_recovery,0.025810,0.017621,0.000000,0.000000,0.109619,0.900000,2.000000,0.000758,0.031571,0.250000,0.001288,0.200000,0.930639
97,teacher_recovery,0.026314,0.018477,0.000000,0.000000,0.111162,0.877228,2.000000,0.000782,0.029507,0.250000,0.002102,0.200000,0.937042
98,teacher_recovery,0.029614,0.019132,0.000000,0.000000,0.112065,0.878218,2.000000,0.001822,0.040438,0.250000,0.001410,0.200000,0.938799
99,teacher_recovery,0.026709,0.018232,0.000000,0.000000,0.109191,0.888119,2.000000,0.000641,0.031988,0.250000,0.002239,0.200000,0.939020
100,teacher_recovery,0.024668,0.018647,0.000000,0.000000,0.108627,0.914851,2.000000,0.000418,0.022516,0.250000,0.001853,0.200000,0.937219
101,hard_consolidation,0.023313,0.016541,0.000000,0.000000,0.110939,0.900000,2.000000,0.000532,0.025646,0.250000,0.001673,0.200000,0.942996
102,hard_consolidation,0.023783,0.016154,0.000000,0.000000,0.113996,0.907921,2.000000,0.001081,0.029042,0.250000,0.001573,0.200000,0.941369
103,hard_consolidation,0.027244,0.015928,0.000000,0.000000,0.113335,0.893069,2.000000,0.001907,0.043220,0.250000,0.002080,0.200000,0.944147
104,hard_consolidation,0.023096,0.015273,0.000000,0.000000,0.111711,0.912871,2.000000,0.000798,0.029932,0.250000,0.001501,0.200000,0.942183
105,hard_consolidation,0.024589,0.016179,0.000000,0.000000,0.111540,0.911881,2.000000,0.000954,0.032216,0.250000,0.001542,0.200000,0.944790
106,hard_consolidation,0.022513,0.016139,0.000000,0.000000,0.107844,0.918812,2.000000,0.000593,0.023765,0.250000,0.002014,0.200000,0.942663
107,hard_consolidation,0.026715,0.017338,0.000000,0.000000,0.118170,0.914851,2.000000,0.001268,0.035838,0.250000,0.001771,0.200000,0.943567
108,hard_consolidation,0.022571,0.016487,0.000000,0.000000,0.105221,0.883168,2.000000,0.000520,0.022965,0.250000,0.001581,0.200000,0.946676
109,hard_consolidation,0.026098,0.016130,0.000000,0.000000,0.110792,0.881188,2.000000,0.001862,0.038265,0.250000,0.001543,0.200000,0.942676
110,hard_consolidation,0.021900,0.015898,0.000000,0.000000,0.119970,0.883168,2.000000,0.000582,0.022617,0.250000,0.001592,0.200000,0.945171
111,hard_consolidation,0.029095,0.016931,0.000000,0.000000,0.118725,0.864356,2.000000,0.002474,0.045524,0.250000,0.003297,0.200000,0.941510
112,hard_consolidation,0.024440,0.016831,0.000000,0.000000,0.115842,0.916832,2.000000,0.000646,0.027840,0.250000,0.003084,0.200000,0.943766
113,hard_consolidation,0.024283,0.016119,0.000000,0.000000,0.115747,0.910891,2.000000,0.000682,0.031454,0.250000,0.001332,0.200000,0.941405
114,hard_consolidation,0.023610,0.015962,0.000000,0.000000,0.113866,0.885149,2.000000,0.000536,0.028483,0.250000,0.002498,0.200000,0.947069
115,hard_consolidation,0.025138,0.016340,0.000000,0.000000,0.108695,0.877228,2.000000,0.001096,0.032648,0.250000,0.002905,0.200000,0.943935
116,hard_consolidation,0.029556,0.018670,0.000000,0.000000,0.110133,0.899010,2.000000,0.001814,0.039290,0.250000,0.004867,0.200000,0.943106
117,hard_consolidation,0.026887,0.017441,0.000000,0.000000,0.114698,0.900000,2.000000,0.001405,0.036090,0.250000,0.001769,0.200000,0.942211
