epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
47,C3_broad_1to1,0.100213,0.050791,0.049421,2.000000,0.282021,0.332139,0.410398,0.257463,0.457217,0.351399,0.191385
48,C3_broad_1to1,0.099000,0.049956,0.049044,2.000000,0.284492,0.332844,0.409077,0.258079,0.456988,0.351649,0.191363
49,C3_broad_1to1,0.104850,0.052914,0.051936,2.000000,0.286800,0.333116,0.408888,0.257995,0.456395,0.352053,0.191552
50,C3_broad_1to1,0.100159,0.050748,0.049411,2.000000,0.288939,0.333165,0.408112,0.258723,0.457101,0.351503,0.191396
51,C3_broad_1to1,0.095864,0.048432,0.047431,2.000000,0.290902,0.332808,0.408631,0.258561,0.457351,0.350554,0.192096
52,C3_broad_1to1,0.095098,0.048304,0.046793,2.000000,0.292684,0.332645,0.409099,0.258256,0.457273,0.350388,0.192339
53,C3_broad_1to1,0.096733,0.049243,0.047491,2.000000,0.294282,0.334340,0.407142,0.258519,0.456234,0.351048,0.192718
54,C3_broad_1to1,0.096581,0.048909,0.047673,2.000000,0.295689,0.333356,0.407814,0.258830,0.456034,0.350533,0.193433
55,C3_broad_1to1,0.094870,0.047905,0.046965,2.000000,0.296902,0.332372,0.407735,0.259893,0.457956,0.348939,0.193105
56,C3_broad_1to1,0.094185,0.047005,0.047180,2.000000,0.297919,0.332126,0.408033,0.259841,0.457467,0.348522,0.194011
57,C3_broad_1to1,0.092235,0.046270,0.045965,2.000000,0.298735,0.332076,0.408400,0.259525,0.455786,0.351337,0.192877
58,C3_broad_1to1,0.093726,0.047308,0.046419,2.000000,0.299349,0.331901,0.408960,0.259139,0.454386,0.353218,0.192395
59,C3_broad_1to1,0.092281,0.046273,0.046008,2.000000,0.299760,0.331405,0.408115,0.260480,0.453434,0.353708,0.192858
60,C3_broad_1to1,0.091901,0.046608,0.045293,2.000000,0.299966,0.332223,0.408265,0.259512,0.449278,0.357534,0.193188
61,C3_anneal,0.240605,0.077861,0.120253,1.001980,0.300359,0.332405,0.407339,0.260255,0.446211,0.356562,0.197228
62,C3_anneal,0.216046,0.083548,0.108023,1.000000,0.302512,0.331470,0.408707,0.259823,0.447536,0.354566,0.197898
63,C3_anneal,0.210169,0.087298,0.105084,1.000000,0.306808,0.330864,0.406976,0.262160,0.448705,0.353204,0.198090
64,C3_anneal,0.207187,0.092345,0.103593,1.000000,0.313220,0.330810,0.405895,0.263295,0.449413,0.352838,0.197749
65,C3_anneal,0.203042,0.096266,0.101521,1.000000,0.321708,0.329770,0.406880,0.263350,0.449691,0.355144,0.195165
66,C3_anneal,0.201142,0.097754,0.100571,1.000000,0.332220,0.329430,0.406170,0.264400,0.449324,0.355409,0.195267
67,C3_anneal,0.197091,0.097571,0.098545,1.000000,0.344692,0.330045,0.404688,0.265267,0.451330,0.353930,0.194740
68,C3_anneal,0.194215,0.104906,0.097107,1.000000,0.359045,0.331070,0.404637,0.264293,0.453011,0.352308,0.194682
69,C3_anneal,0.195607,0.108679,0.097803,1.000000,0.375193,0.330427,0.405476,0.264097,0.453391,0.353698,0.192911
70,C3_anneal,0.190699,0.108424,0.095349,1.000000,0.393035,0.329424,0.406671,0.263904,0.455955,0.351834,0.192211
71,C3_anneal,0.181844,0.106938,0.090922,1.000000,0.412461,0.329356,0.406210,0.264434,0.454389,0.352173,0.193438
72,C3_anneal,0.186590,0.111661,0.093295,1.000000,0.433351,0.329030,0.405273,0.265697,0.454157,0.352125,0.193719
