epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine,rgpu_p2_mix,rgpu_p2_ratio,rgpu_p3_mix,rgpu_p3_ratio,rgpu_p4_mix,rgpu_p4_ratio,rgpu_p5_mix,rgpu_p5_ratio
28,C3_broad_1to1,0.078176,0.039463,0.038713,2.000000,0.215208,0.333181,0.396749,0.270069,0.473587,0.311524,0.214889,0.147030,0.239819,-0.095795,0.118371,-0.076501,0.093160,-0.014930,0.020173
29,C3_broad_1to1,0.075325,0.037523,0.037802,2.000000,0.219112,0.334277,0.397608,0.268115,0.475291,0.312847,0.211862,0.148614,0.240559,-0.097790,0.121514,-0.077739,0.095754,-0.016817,0.022781
30,C3_broad_1to1,0.077585,0.038655,0.038930,2.000000,0.223033,0.333912,0.397537,0.268551,0.475201,0.310798,0.214001,0.150238,0.246905,-0.098790,0.122461,-0.077911,0.096160,-0.017010,0.022745
31,C3_broad_1to1,0.075561,0.037573,0.037989,2.000000,0.226959,0.334796,0.397120,0.268085,0.473629,0.312059,0.214312,0.151955,0.247898,-0.100059,0.124316,-0.078779,0.096021,-0.016463,0.021546
32,C3_broad_1to1,0.074386,0.037093,0.037293,2.000000,0.230880,0.335873,0.395623,0.268504,0.472339,0.311662,0.215999,0.153555,0.252727,-0.101459,0.125489,-0.079519,0.097293,-0.015929,0.020847
33,C3_broad_1to1,0.072654,0.036110,0.036545,2.000000,0.234784,0.336384,0.394559,0.269057,0.470003,0.313958,0.216039,0.155261,0.251567,-0.103110,0.127528,-0.080336,0.098304,-0.014750,0.019710
34,C3_broad_1to1,0.073370,0.036707,0.036663,2.000000,0.238662,0.337016,0.393980,0.269003,0.472599,0.312516,0.214885,0.156850,0.256438,-0.104754,0.128901,-0.081108,0.098216,-0.015236,0.020805
35,C3_broad_1to1,0.072212,0.035660,0.036552,2.000000,0.242503,0.338311,0.393326,0.268362,0.474628,0.310457,0.214914,0.158505,0.263476,-0.105707,0.130623,-0.082378,0.100797,-0.015816,0.021598
36,C3_broad_1to1,0.069276,0.033956,0.035320,2.000000,0.246295,0.339199,0.392858,0.267942,0.476027,0.310726,0.213247,0.160175,0.264876,-0.107647,0.132962,-0.083796,0.102736,-0.015795,0.021605
37,C3_broad_1to1,0.067580,0.033392,0.034188,2.000000,0.250029,0.338454,0.394147,0.267399,0.475825,0.312077,0.212098,0.161566,0.266740,-0.108183,0.132933,-0.084026,0.102920,-0.015557,0.020920
38,C3_broad_1to1,0.070187,0.035036,0.035152,2.000000,0.253694,0.339710,0.392873,0.267417,0.475883,0.312706,0.211411,0.162980,0.272064,-0.109219,0.135427,-0.084875,0.102710,-0.016960,0.022683
39,C3_broad_1to1,0.069785,0.034593,0.035192,2.000000,0.257281,0.340471,0.391963,0.267565,0.476255,0.312189,0.211556,0.164613,0.275873,-0.110871,0.136529,-0.086303,0.103944,-0.017246,0.023505
40,C3_broad_1to1,0.067248,0.033368,0.033880,2.000000,0.260779,0.341093,0.390931,0.267976,0.477443,0.311484,0.211073,0.166060,0.280023,-0.111787,0.136981,-0.087269,0.106070,-0.017005,0.023352
41,C3_broad_1to1,0.067091,0.033665,0.033426,2.000000,0.264180,0.340966,0.390547,0.268488,0.478617,0.311729,0.209654,0.167560,0.282013,-0.113157,0.140025,-0.087729,0.105727,-0.017167,0.023629
