epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine,rgpu_p2_mix,rgpu_p2_ratio,rgpu_p3_mix,rgpu_p3_ratio,rgpu_p4_mix,rgpu_p4_ratio,rgpu_p5_mix,rgpu_p5_ratio
119,C3_anneal,0.104504,0.061152,0.052252,1.000000,1.000000,0.356382,0.382626,0.260992,0.480957,0.310582,0.208461,0.296388,0.539615,-0.158639,0.161265,-0.113079,0.128118,-0.019349,0.026323
120,C3_anneal,0.100687,0.058960,0.050344,1.000000,1.000000,0.356107,0.381932,0.261961,0.479901,0.312536,0.207563,0.297587,0.541202,-0.158827,0.162101,-0.113363,0.128866,-0.020264,0.027839
121,C3_anneal,0.094996,0.056947,0.047498,1.000000,1.000000,0.356737,0.381843,0.261420,0.480227,0.312177,0.207597,0.298684,0.544276,-0.159125,0.162431,-0.113461,0.129638,-0.020536,0.028173
122,C3_anneal,0.097249,0.057084,0.048624,1.000000,1.000000,0.356102,0.382526,0.261372,0.479886,0.312158,0.207957,0.298778,0.548209,-0.158984,0.162485,-0.113240,0.129289,-0.020247,0.027783
123,C3_anneal,0.094036,0.055610,0.047018,1.000000,1.000000,0.355987,0.382742,0.261271,0.480001,0.311897,0.208101,0.299060,0.549440,-0.159276,0.162667,-0.113313,0.129344,-0.020392,0.028119
124,C3_anneal,0.093445,0.052298,0.046722,1.000000,1.000000,0.355582,0.382829,0.261588,0.479936,0.312198,0.207866,0.299148,0.549720,-0.159612,0.163014,-0.113450,0.129425,-0.020393,0.028164
125,C3_anneal,0.090708,0.055799,0.045354,1.000000,1.000000,0.355623,0.382891,0.261486,0.479969,0.312260,0.207771,0.299130,0.550103,-0.159738,0.163212,-0.113429,0.129510,-0.020367,0.028113
126,C3_anneal,0.093110,0.052531,0.046555,1.000000,1.000000,0.355720,0.383237,0.261044,0.480100,0.312292,0.207608,0.299319,0.550340,-0.160308,0.163890,-0.113853,0.129811,-0.020298,0.027971
127,C3_anneal,0.092032,0.052398,0.046016,1.000000,1.000000,0.355648,0.383445,0.260907,0.480510,0.312492,0.206998,0.299414,0.550208,-0.160554,0.163965,-0.114021,0.130118,-0.020637,0.028502
128,C3_anneal,0.089922,0.051186,0.044961,1.000000,1.000000,0.355689,0.383275,0.261036,0.480262,0.312762,0.206975,0.299522,0.550264,-0.160695,0.164174,-0.113895,0.129946,-0.020784,0.028768
129,C3_anneal,0.091266,0.048089,0.045633,1.000000,1.000000,0.355392,0.383486,0.261122,0.479852,0.312804,0.207345,0.299660,0.552194,-0.160763,0.164367,-0.113940,0.129966,-0.020818,0.028704
130,C3_anneal,0.091884,0.051452,0.045942,1.000000,1.000000,0.355559,0.383745,0.260696,0.479863,0.312830,0.207307,0.299812,0.553269,-0.160782,0.164350,-0.113886,0.129885,-0.020842,0.028716
131,C3_anneal,0.089982,0.050107,0.044991,1.000000,1.000000,0.355589,0.383539,0.260873,0.480000,0.312458,0.207542,0.299855,0.553160,-0.160849,0.164289,-0.113975,0.129917,-0.020985,0.029111
132,C3_anneal,0.091065,0.048892,0.045532,1.000000,1.000000,0.355562,0.383580,0.260858,0.479989,0.312336,0.207675,0.300138,0.554922,-0.161061,0.164588,-0.114014,0.130050,-0.021030,0.029140
133,C3_anneal,0.088181,0.051296,0.044091,1.000000,1.000000,0.355604,0.383743,0.260653,0.479850,0.312374,0.207776,0.300332,0.554944,-0.161327,0.164915,-0.114173,0.130185,-0.021145,0.029303
134,C3_anneal,0.090175,0.052468,0.045087,1.000000,1.000000,0.355660,0.383725,0.260616,0.479678,0.312488,0.207834,0.300460,0.555942,-0.161455,0.165094,-0.114242,0.130117,-0.021036,0.029181
135,C3_anneal,0.089545,0.048758,0.044773,1.000000,1.000000,0.355612,0.383714,0.260675,0.479405,0.312336,0.208260,0.300651,0.555516,-0.161723,0.165350,-0.114215,0.129941,-0.021140,0.029356
136,C3_anneal,0.087318,0.050304,0.043659,1.000000,1.000000,0.355974,0.383449,0.260576,0.479490,0.312395,0.208115,0.300820,0.554641,-0.162018,0.165693,-0.114127,0.130103,-0.021450,0.029758
137,C3_anneal,0.084599,0.049964,0.042300,1.000000,1.000000,0.355991,0.383627,0.260382,0.479728,0.312162,0.208110,0.300969,0.554950,-0.162042,0.165678,-0.114039,0.130054,-0.021249,0.029497
138,C3_anneal,0.088704,0.047747,0.044352,1.000000,1.000000,0.355934,0.383523,0.260543,0.479731,0.312049,0.208220,0.301105,0.555991,-0.162054,0.165880,-0.114228,0.130240,-0.021389,0.029698
139,C3_anneal,0.088476,0.049288,0.044238,1.000000,1.000000,0.355734,0.383698,0.260568,0.479901,0.311853,0.208246,0.301212,0.555588,-0.162400,0.166008,-0.114380,0.130403,-0.021401,0.029704
140,C3_anneal,0.088143,0.050071,0.044071,1.000000,1.000000,0.355853,0.383600,0.260547,0.479895,0.311853,0.208252,0.301270,0.555740,-0.162477,0.166127,-0.114563,0.130730,-0.021436,0.029838
141,C3_reliable_0p3,0.085094,0.048788,0.042547,1.000000,1.000000,0.356116,0.383438,0.260446,0.479507,0.311978,0.208515,0.301421,0.556589,-0.162504,0.166200,-0.114765,0.131092,-0.021415,0.029860
142,C3_reliable_0p3,0.086336,0.050061,0.043168,1.000000,1.000000,0.355838,0.383504,0.260658,0.479794,0.311823,0.208382,0.301518,0.556830,-0.162448,0.166245,-0.114797,0.131287,-0.021685,0.030188
143,C3_reliable_0p3,0.086733,0.049061,0.043367,1.000000,1.000000,0.355571,0.383381,0.261048,0.479491,0.311878,0.208631,0.301636,0.557896,-0.162675,0.166471,-0.114828,0.131310,-0.021844,0.030392
144,C3_reliable_0p3,0.085675,0.046661,0.042837,1.000000,1.000000,0.355781,0.383259,0.260960,0.479496,0.312091,0.208412,0.301772,0.557225,-0.162876,0.166626,-0.114865,0.131437,-0.022035,0.030582
145,C3_reliable_0p3,0.087358,0.049861,0.043679,1.000000,1.000000,0.355791,0.383526,0.260684,0.479701,0.311801,0.208498,0.301826,0.557071,-0.163105,0.166856,-0.114962,0.131228,-0.022221,0.030903
146,C3_reliable_0p3,0.085624,0.049314,0.042812,1.000000,1.000000,0.355678,0.383971,0.260351,0.479701,0.312083,0.208216,0.302028,0.557028,-0.163324,0.167246,-0.115217,0.131734,-0.022419,0.031289
147,C3_reliable_0p3,0.084914,0.046318,0.042457,1.000000,1.000000,0.355609,0.383736,0.260655,0.479603,0.312176,0.208221,0.302174,0.558412,-0.163687,0.167695,-0.115548,0.132169,-0.022705,0.031709
148,C3_reliable_0p3,0.082963,0.046683,0.041481,1.000000,1.000000,0.355562,0.383799,0.260640,0.479469,0.312177,0.208354,0.302414,0.557533,-0.163954,0.167813,-0.115931,0.132542,-0.022570,0.031516
149,C3_reliable_0p3,0.086803,0.050174,0.043401,1.000000,1.000000,0.355525,0.383856,0.260619,0.479695,0.311907,0.208398,0.302570,0.558403,-0.163995,0.167893,-0.115993,0.132497,-0.022565,0.031528
150,C3_reliable_0p3,0.086521,0.051256,0.043260,1.000000,1.000000,0.355606,0.383855,0.260538,0.479947,0.311761,0.208292,0.302694,0.559877,-0.164006,0.167938,-0.115932,0.132379,-0.022686,0.031589
