epoch,stage,total,bce,nc,q,csr_alpha,p3_context,p3_current,p3_fine,p4_context,p4_current,p4_fine
47,C3_broad_1to1,0.066247,0.032392,0.033855,2.000000,0.282021,0.353307,0.377670,0.269023,0.436588,0.350842,0.212570
48,C3_broad_1to1,0.066612,0.032748,0.033863,2.000000,0.284492,0.353882,0.377131,0.268987,0.435600,0.350872,0.213528
49,C3_broad_1to1,0.067033,0.032724,0.034309,2.000000,0.286800,0.352080,0.377838,0.270082,0.433995,0.351708,0.214296
50,C3_broad_1to1,0.067158,0.032532,0.034626,2.000000,0.288939,0.352488,0.376479,0.271033,0.435201,0.351044,0.213755
51,C3_broad_1to1,0.065446,0.032048,0.033398,2.000000,0.290902,0.353249,0.374994,0.271757,0.435098,0.350555,0.214348
52,C3_broad_1to1,0.066189,0.032155,0.034034,2.000000,0.292684,0.352044,0.376051,0.271905,0.434503,0.349303,0.216195
53,C3_broad_1to1,0.064315,0.031539,0.032777,2.000000,0.294282,0.353670,0.375244,0.271086,0.435519,0.349153,0.215328
54,C3_broad_1to1,0.063463,0.030763,0.032699,2.000000,0.295689,0.353174,0.376162,0.270664,0.436637,0.348308,0.215055
55,C3_broad_1to1,0.065199,0.031879,0.033321,2.000000,0.296902,0.353485,0.375981,0.270533,0.435927,0.348945,0.215128
56,C3_broad_1to1,0.068102,0.033458,0.034643,2.000000,0.297919,0.352282,0.376660,0.271059,0.434779,0.349088,0.216132
57,C3_broad_1to1,0.062735,0.030559,0.032176,2.000000,0.298735,0.353009,0.376112,0.270879,0.435129,0.349404,0.215467
58,C3_broad_1to1,0.062138,0.030213,0.031925,2.000000,0.299349,0.352282,0.376789,0.270929,0.436029,0.349148,0.214823
59,C3_broad_1to1,0.063046,0.031027,0.032019,2.000000,0.299760,0.351842,0.377093,0.271064,0.437288,0.350345,0.212367
60,C3_broad_1to1,0.061121,0.029665,0.031457,2.000000,0.299966,0.351745,0.376946,0.271309,0.436544,0.351774,0.211683
61,C3_anneal,0.181132,0.045539,0.090561,1.001980,0.300359,0.351539,0.375161,0.273300,0.438517,0.347747,0.213737
62,C3_anneal,0.157313,0.050132,0.078657,1.000000,0.302512,0.350023,0.375585,0.274392,0.438918,0.346860,0.214222
63,C3_anneal,0.155805,0.048952,0.077903,1.000000,0.306808,0.349986,0.375493,0.274521,0.440943,0.347623,0.211435
64,C3_anneal,0.152969,0.055017,0.076484,1.000000,0.313220,0.349549,0.376374,0.274076,0.440143,0.347492,0.212365
65,C3_anneal,0.143509,0.053865,0.071754,1.000000,0.321708,0.348910,0.377293,0.273797,0.439569,0.348445,0.211986
66,C3_anneal,0.147801,0.055649,0.073901,1.000000,0.332220,0.348721,0.376278,0.275001,0.439634,0.347493,0.212874
67,C3_anneal,0.147846,0.058888,0.073923,1.000000,0.344692,0.347700,0.377178,0.275122,0.440364,0.346264,0.213372
68,C3_anneal,0.139465,0.059894,0.069732,1.000000,0.359045,0.348990,0.376341,0.274669,0.440635,0.346988,0.212377
69,C3_anneal,0.145438,0.059743,0.072719,1.000000,0.375193,0.350403,0.375657,0.273940,0.439884,0.347373,0.212743
70,C3_anneal,0.141316,0.061250,0.070658,1.000000,0.393035,0.348573,0.375979,0.275447,0.439591,0.347031,0.213378
71,C3_anneal,0.142936,0.064257,0.071468,1.000000,0.412461,0.348439,0.374728,0.276832,0.439538,0.348835,0.211628
72,C3_anneal,0.143430,0.066876,0.071715,1.000000,0.433351,0.349805,0.374282,0.275912,0.438781,0.347091,0.214128
73,C3_anneal,0.134539,0.063927,0.067269,1.000000,0.455578,0.349772,0.375131,0.275096,0.438420,0.347079,0.214501
74,C3_anneal,0.137721,0.064194,0.068861,1.000000,0.479003,0.350159,0.374414,0.275428,0.438147,0.346750,0.215103
75,C3_anneal,0.131549,0.066997,0.065774,1.000000,0.503482,0.350077,0.374507,0.275416,0.439850,0.347021,0.213129
76,C3_anneal,0.134486,0.066120,0.067243,1.000000,0.528865,0.352359,0.372784,0.274857,0.438319,0.348396,0.213285
77,C3_anneal,0.135233,0.065903,0.067616,1.000000,0.554994,0.350655,0.373373,0.275972,0.438208,0.348778,0.213014
78,C3_anneal,0.140532,0.068577,0.070266,1.000000,0.581709,0.351262,0.372957,0.275781,0.437568,0.347872,0.214560
79,C3_anneal,0.131523,0.069846,0.065761,1.000000,0.608845,0.351572,0.372508,0.275919,0.437875,0.347970,0.214156
80,C3_anneal,0.131226,0.067484,0.065613,1.000000,0.636235,0.351545,0.372568,0.275887,0.436781,0.348646,0.214573
81,C3_anneal,0.132708,0.068803,0.066354,1.000000,0.663710,0.351558,0.373212,0.275230,0.437513,0.348720,0.213768
82,C3_anneal,0.136678,0.072012,0.068339,1.000000,0.691100,0.351922,0.373038,0.275040,0.439165,0.349443,0.211393
83,C3_anneal,0.127128,0.068415,0.063564,1.000000,0.718237,0.352367,0.372328,0.275305,0.440779,0.346600,0.212621
84,C3_anneal,0.132390,0.069544,0.066195,1.000000,0.744954,0.353682,0.371352,0.274965,0.439370,0.346335,0.214295
85,C3_anneal,0.127611,0.068526,0.063806,1.000000,0.771084,0.355550,0.370102,0.274348,0.437723,0.347407,0.214870
86,C3_anneal,0.129368,0.068534,0.064684,1.000000,0.796469,0.354793,0.370627,0.274580,0.438389,0.347587,0.214024
87,C3_anneal,0.127237,0.066172,0.063619,1.000000,0.820950,0.356079,0.369366,0.274555,0.439629,0.347496,0.212875
88,C3_anneal,0.129086,0.070233,0.064543,1.000000,0.844377,0.355416,0.369561,0.275024,0.439392,0.347634,0.212974
89,C3_anneal,0.128091,0.068000,0.064045,1.000000,0.866606,0.357266,0.367802,0.274932,0.440033,0.346595,0.213372
90,C3_anneal,0.127676,0.071192,0.063838,1.000000,0.887499,0.357823,0.368466,0.273711,0.441911,0.344643,0.213445
91,C3_anneal,0.129278,0.070110,0.064639,1.000000,0.906928,0.357290,0.367642,0.275068,0.440820,0.346465,0.212715
