epoch,S,Fw,E,MAE
30,0.5113,0.3406,0.8358,0.3135
35,0.6008,0.4162,0.8728,0.2247
40,0.5959,0.4077,0.8762,0.2358
45,0.6159,0.4293,0.8861,0.2112
50,0.6437,0.4571,0.8859,0.1859
55,0.6840,0.5041,0.8830,0.1560
60,0.7146,0.5379,0.8890,0.1305
65,0.6509,0.4892,0.8550,0.1583
70,0.7587,0.6379,0.8911,0.0965
75,0.8204,0.7607,0.8939,0.0668
80,0.8320,0.7838,0.8986,0.0614
85,0.8306,0.7876,0.9017,0.0605
90,0.8322,0.7899,0.9042,0.0594
95,0.8320,0.7917,0.9053,0.0590
100,0.8359,0.7963,0.9096,0.0569
105,0.8180,0.7727,0.8920,0.0634
110,0.8307,0.7882,0.9035,0.0573
115,0.8215,0.7767,0.8940,0.0610
120,0.8338,0.7944,0.9071,0.0562
125,0.8334,0.7926,0.9056,0.0569
130,0.8325,0.7907,0.9041,0.0573
135,0.8331,0.7921,0.9051,0.0570
140,0.8325,0.7909,0.9044,0.0575
145,0.8332,0.7915,0.9048,0.0572
150,0.8327,0.7909,0.9043,0.0573
