epoch,stage,total,bce
137,C3_reliable_0p3,0.077176,0.030500
138,C3_reliable_0p3,0.077403,0.030624
139,C3_reliable_0p3,0.075644,0.028533
140,C3_reliable_0p3,0.079645,0.029593
141,C3_reliable_0p3,0.075547,0.030560
142,C3_reliable_0p3,0.074199,0.029568
143,C3_reliable_0p3,0.075435,0.029001
144,C3_reliable_0p3,0.074549,0.028599
145,C3_reliable_0p3,0.074762,0.030095
146,C3_reliable_0p3,0.074952,0.028560
147,C3_reliable_0p3,0.074182,0.028446
148,C3_reliable_0p3,0.074357,0.027836
149,C3_reliable_0p3,0.073668,0.028407
150,C3_reliable_0p3,0.074297,0.028650
