epoch,S,Fw,E,MAE
30,0.5698,0.3947,0.8494,0.2508
35,0.5938,0.4115,0.8802,0.2365
40,0.6371,0.4516,0.8876,0.1939
45,0.7029,0.5267,0.8917,0.1500
50,0.7252,0.5659,0.8950,0.1342
55,0.7042,0.5243,0.8967,0.1479
60,0.7080,0.5324,0.8968,0.1415
65,0.7668,0.6474,0.8968,0.0991
70,0.8250,0.7644,0.9012,0.0699
75,0.8092,0.7544,0.8810,0.0647
80,0.8326,0.7936,0.9061,0.0602
85,0.8319,0.7933,0.9062,0.0598
90,0.8317,0.7898,0.9016,0.0595
95,0.8389,0.8042,0.9142,0.0562
100,0.8345,0.7965,0.9104,0.0579
105,0.8359,0.7956,0.9087,0.0571
110,0.8319,0.7897,0.9031,0.0585
115,0.8304,0.7912,0.9025,0.0599
120,0.8309,0.7923,0.9058,0.0586
125,0.8315,0.7926,0.9051,0.0586
130,0.8317,0.7927,0.9054,0.0582
135,0.8318,0.7923,0.9049,0.0585
140,0.8314,0.7916,0.9042,0.0586
145,0.8321,0.7923,0.9046,0.0589
150,0.8313,0.7910,0.9028,0.0592
