epoch,stage,total,bce,nc,q,anchor,consistency,consistency_weight,csr_alpha,csr_gate,p3_context,p3_current,p3_fine,p3_residual_ratio,p3_route_entropy,p3_route_spatial_std,p4_context,p4_current,p4_fine,p4_residual_ratio,p4_route_entropy,p4_route_spatial_std,pixel_reliability,q_max,q_min,sample_reliability,scale_loss
19,C3_broad_1to1,0.056222,0.019674,0.036548,2.000000,0.019674,0.000000,0.000000,0.037129,0.037129,0.460160,0.300796,0.239044,0.057553,0.792255,0.136378,0.391735,0.289732,0.318533,0.038094,0.829939,0.117658,0.978051,2.000000,2.000000,0.500000,0.000000
20,C3_broad_1to1,0.057444,0.020179,0.037265,2.000000,0.020179,0.000000,0.000000,0.039757,0.039757,0.462455,0.299052,0.238493,0.060687,0.792961,0.133531,0.390629,0.291722,0.317649,0.040517,0.832162,0.114495,0.977595,2.000000,2.000000,0.500000,0.000000
21,C3_broad_1to1,0.053458,0.018303,0.035155,2.000000,0.018303,0.000000,0.000000,0.042445,0.042445,0.461519,0.299830,0.238652,0.065997,0.793925,0.134118,0.391882,0.289810,0.318308,0.043278,0.832675,0.114552,0.978011,2.000000,2.000000,0.500000,0.000000
22,C3_broad_1to1,0.048320,0.016098,0.032221,2.000000,0.016098,0.000000,0.000000,0.045182,0.045182,0.460813,0.298796,0.240391,0.070636,0.790488,0.138003,0.389643,0.290868,0.319490,0.045949,0.834036,0.111228,0.978523,2.000000,2.000000,0.500000,0.000000
23,C3_broad_1to1,0.048884,0.016891,0.031993,1.999986,0.016891,0.000000,0.000000,0.047959,0.047959,0.461129,0.298763,0.240108,0.074636,0.795000,0.135025,0.387706,0.292849,0.319445,0.048679,0.835778,0.112709,0.978305,1.999986,1.999986,0.500000,0.000000
24,C3_broad_1to1,0.049296,0.016343,0.032953,1.999630,0.016343,0.000000,0.000000,0.050763,0.050763,0.459859,0.299183,0.240958,0.077389,0.795004,0.137632,0.384841,0.295054,0.320104,0.051553,0.835634,0.111633,0.978069,1.999630,1.999630,0.500000,0.000000
25,C3_broad_1to1,0.049718,0.016690,0.033029,1.998603,0.016690,0.000000,0.000000,0.053584,0.053584,0.459520,0.298367,0.242113,0.080971,0.796444,0.138629,0.382752,0.296774,0.320474,0.054274,0.839563,0.109371,0.977884,1.998603,1.998603,0.500000,0.000000
26,C3_broad_1to1,0.048428,0.015798,0.032630,1.996896,0.015798,0.000000,0.000000,0.056410,0.056410,0.460954,0.296615,0.242431,0.085204,0.801361,0.134383,0.385566,0.293695,0.320739,0.057033,0.841774,0.107832,0.978122,1.996896,1.996896,0.500000,0.000000
27,C3_broad_1to1,0.043699,0.014060,0.029639,1.994512,0.014060,0.000000,0.000000,0.059231,0.059231,0.458196,0.297683,0.244121,0.090006,0.803771,0.133536,0.385548,0.294656,0.319796,0.059675,0.838363,0.107933,0.978076,1.994512,1.994512,0.500000,0.000000
28,C3_broad_1to1,0.044865,0.014448,0.030417,1.991457,0.014448,0.000000,0.000000,0.062036,0.062036,0.459275,0.296594,0.244131,0.093445,0.807909,0.132197,0.385737,0.293032,0.321231,0.062603,0.840708,0.103345,0.978140,1.991457,1.991457,0.500000,0.000000
29,C3_broad_1to1,0.044839,0.014846,0.029993,1.987741,0.014846,0.000000,0.000000,0.064812,0.064812,0.456460,0.298595,0.244944,0.097085,0.809811,0.130230,0.388198,0.293650,0.318152,0.065478,0.838652,0.106461,0.978360,1.987741,1.987741,0.500000,0.000000
30,C3_broad_1to1,0.045758,0.014476,0.031282,1.983373,0.014476,0.000000,0.000000,0.067550,0.067550,0.456624,0.297368,0.246008,0.101643,0.812884,0.129557,0.387040,0.294650,0.318310,0.068236,0.840249,0.106338,0.978605,1.983373,1.983373,0.500000,0.000000
31,C3_broad_1to1,0.042315,0.013184,0.029131,1.978366,0.013184,0.000000,0.000000,0.070238,0.070238,0.454967,0.299083,0.245950,0.105365,0.816452,0.128227,0.385327,0.297184,0.317490,0.070953,0.844768,0.102875,0.978376,1.978366,1.978366,0.500000,0.000000
32,C3_broad_1to1,0.043764,0.014574,0.029190,1.972732,0.014574,0.000000,0.000000,0.072866,0.072866,0.458477,0.295131,0.246392,0.111501,0.814461,0.129657,0.384623,0.297304,0.318073,0.073405,0.848351,0.102734,0.977786,1.972732,1.972732,0.500000,0.000000
33,C3_broad_1to1,0.042085,0.013754,0.028331,1.966488,0.013754,0.000000,0.000000,0.075424,0.075424,0.456681,0.295448,0.247871,0.113810,0.816816,0.127916,0.383967,0.296427,0.319606,0.076012,0.845259,0.103330,0.977844,1.966488,1.966488,0.500000,0.000000
34,C3_broad_1to1,0.043617,0.014173,0.029444,1.959651,0.014173,0.000000,0.000000,0.077901,0.077901,0.457856,0.294965,0.247179,0.114920,0.816515,0.128492,0.383716,0.297085,0.319199,0.078379,0.846009,0.102465,0.978193,1.959651,1.959651,0.500000,0.000000
35,C3_broad_1to1,0.042446,0.013239,0.029206,1.952239,0.013239,0.000000,0.000000,0.080287,0.080287,0.457309,0.296152,0.246538,0.118029,0.816086,0.129367,0.383186,0.296549,0.320265,0.080993,0.845910,0.101333,0.978379,1.952239,1.952239,0.500000,0.000000
36,C3_broad_1to1,0.040330,0.012473,0.027857,1.944272,0.012473,0.000000,0.000000,0.082574,0.082574,0.456317,0.295230,0.248453,0.122220,0.817126,0.130774,0.385553,0.296262,0.318185,0.083187,0.845070,0.101663,0.978193,1.944272,1.944272,0.500000,0.000000
